Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real,,,,,,,,
2010,3,201003,Sydney,Wagga Wagga,Sydney - Wagga Wagga,214,314.4810924,,,,,,,,
2010,3,201003,Newcastle,Gold Coast,Newcastle - Gold Coast,154,226.3088235,,,,,,,,
2010,4,201004,Adelaide,Brisbane,Adelaide - Brisbane,198,289.1461378,,,,,,,,
2010,4,201004,Adelaide,Canberra,Adelaide - Canberra,224,327.1148225,,,,,,,,
2010,4,201004,Adelaide,Darwin,Adelaide - Darwin,348,508.1962422,,,,,,,,
2010,4,201004,Adelaide,Gold Coast,Adelaide - Gold Coast,127,185.4624217,,,,,,,,
2010,4,201004,Adelaide,Melbourne,Adelaide - Melbourne,38,55.49269311,,,,,,,,
2010,4,201004,Adelaide,Perth,Adelaide - Perth,298,435.1795407,,,,,,,,
2010,4,201004,Adelaide,Port Lincoln,Adelaide - Port Lincoln,177.76,259.588977,,,,,,,,
2010,4,201004,Adelaide,Sydney,Adelaide - Sydney,116,169.3987474,,,,,,,,
2010,4,201004,Albury,Sydney,Albury - Sydney,118,172.3194154,,,,,,,,
2010,4,201004,Alice Springs,Darwin,Alice Springs - Darwin,508,741.8496868,,,,,,,,
2010,4,201004,Alice Springs,Melbourne,Alice Springs - Melbourne,186,271.6221294,,,,,,,,
2010,4,201004,Alice Springs,Sydney,Alice Springs - Sydney,538,785.6597077,,,,,,,,
2010,4,201004,Avalon,Brisbane,Avalon - Brisbane,198,289.1461378,,,,,,,,
2010,4,201004,Avalon,Sydney,Avalon - Sydney,78,113.9060543,,,,,,,,
2010,4,201004,Ayers Rock,Cairns,Ayers Rock - Cairns,808,1179.949896,,,,,,,,
2010,4,201004,Ayers Rock,Sydney,Ayers Rock - Sydney,638,931.6931106,,,,,,,,
2010,4,201004,Ballina,Sydney,Ballina - Sydney,158,230.7327766,,,,,,,,
2010,4,201004,Brisbane,Cairns,Brisbane - Cairns,218,318.3528184,,,,,,,,
2010,4,201004,Brisbane,Canberra,Brisbane - Canberra,198,289.1461378,,,,,,,,
2010,4,201004,Brisbane,Darwin,Brisbane - Darwin,258,376.7661795,,,,,,,,
2010,4,201004,Brisbane,Emerald,Brisbane - Emerald,246,359.2421712,,,,,,,,
2010,4,201004,Brisbane,Gladstone,Brisbane - Gladstone,182,265.7807933,,,,,,,,
2010,4,201004,Brisbane,Hamilton Island,Brisbane - Hamilton Island,138,201.526096,,,,,,,,
2010,4,201004,Brisbane,Hobart,Brisbane - Hobart,358,522.7995825,,,,,,,,
2010,4,201004,Brisbane,Mackay,Brisbane - Mackay,148.95,217.5167537,,,,,,,,
